year,date,count
2013,02-04,5696
2013,02-05,5588
2013,02-06,5514
2013,02-07,4340
2013,02-08,4624
2013,02-09,2959
2013,02-10,1950
2013,02-11,2978
2013,02-12,3183
2013,02-13,3765
2013,02-14,4313
2013,02-15,4163
2013,02-16,3691
2013,02-17,2029
2013,02-18,5791
2013,02-19,6137
2013,02-20,5630
2013,02-21,5666
2013,02-22,5036
2013,02-23,3180
2013,02-24,1424
2013,02-25,4868
2013,02-26,5502
2013,02-27,5708
2013,02-28,5780
2013,03-01,5770
2013,03-02,4053
2013,03-03,2500
2013,03-04,6196
2013,03-05,6539
2013,03-06,6609
2013,03-07,6947
2013,03-08,6351
2013,03-09,4720
2013,03-10,2591
2013,03-11,4953
2013,03-12,5424
2013,03-13,4755
2013,03-14,5541
2013,03-15,5335
2013,03-16,4300
2013,03-17,2165
2013,03-18,5077
2013,03-19,5974
2013,03-20,5964
2013,03-21,6992
2013,03-22,6657
2013,03-23,3501
2013,03-24,2524
2013,03-25,4525
2013,03-26,4926
2013,03-27,5243
2013,03-28,4415
2013,03-29,1931
2013,03-30,2713
2013,03-31,1282
2013,04-01,1868
2013,04-02,5581
2013,04-03,5451
2013,04-04,6085
2013,04-05,5848
2013,04-06,5021
2013,04-07,2252
2013,04-08,6687
2013,04-09,6329
2013,04-10,6950
2013,04-11,5879
2013,04-12,7683
2013,04-13,6313
2013,04-14,5263
2013,04-15,10654
2013,04-16,10540
2013,04-17,11670
2013,04-18,9912
2013,04-19,8496
2013,04-20,5593
2013,04-21,3985
2013,04-22,8948
2013,04-23,11316
2013,04-24,11745
2013,04-25,11855
2013,04-26,8087
2013,04-27,3783
2013,04-28,3230
2013,04-29,7509
2013,04-30,9813
2013,05-01,6038
2013,05-02,9016
2013,05-03,8341
2013,05-04,6095
2013,05-05,5325
2013,05-06,9511
2013,05-07,11094
2013,05-08,11603
2013,05-09,5213
2013,05-10,6363
2013,05-11,7314
2013,05-12,3243
2013,05-13,8995
2013,05-14,11043
2013,05-15,9755
2013,05-16,8707
2013,05-17,6782
2013,05-18,7005
2013,05-19,2344
2013,05-20,2075
2013,05-21,4459
2013,05-22,4814
2013,05-23,5301
2013,05-24,5453
2013,05-25,4501
2013,05-26,2219
2013,05-27,8207
2013,05-28,8203
2013,05-29,6639
2013,05-30,4381
2013,05-31,3449
2013,06-01,3136
2013,06-02,5256
2013,06-03,9966
2013,06-04,11444
2013,06-05,11365
2013,06-06,12206
2013,06-07,10002
2013,06-08,8130
2013,06-09,5050
2013,06-10,8992
2013,06-11,10517
2013,06-12,11428
2013,06-13,11615
2013,06-14,9972
2013,06-15,7792
2013,06-16,5321
2013,06-17,11257
2013,06-18,11954
2013,06-19,11644
2013,06-20,9977
2013,06-21,10522
2013,06-22,8998
2013,06-23,5211
2013,06-24,8632
2013,06-25,9773
2013,06-26,11111
2013,06-27,8930
2013,06-28,10050
2013,06-29,5184
2013,06-30,5189
2013,07-01,11248
2013,07-02,12037
2013,07-03,7787
2013,07-04,9793
2013,07-05,11061
2013,07-06,8460
2013,07-07,5842
2013,07-08,11615
2013,07-09,12059
2013,07-10,12514
2013,07-11,12394
2013,07-12,11621
2013,07-13,9759
2013,07-14,6124
2013,07-15,11663
2013,07-16,12326
2013,07-17,11785
2013,07-18,11730
2013,07-19,10617
2013,07-20,8644
2013,07-21,5861
2013,07-22,10574
2013,07-23,10900
2013,07-24,9959
2013,07-25,11598
2013,07-26,9791
2013,07-27,7046
2013,07-28,3391
2013,07-29,5331
2013,07-30,9794
2013,07-31,9638
2013,08-01,9436
2013,08-02,8767
2013,08-03,6907
2013,08-04,4391
2013,08-05,8781
2013,08-06,8831
2013,08-07,7310
2013,08-08,7654
2013,08-09,8120
2013,08-10,6896
2013,08-11,4199
2013,08-12,8207
2013,08-13,7775
2013,08-14,8316
2013,08-15,8180
2013,08-16,8081
2013,08-17,6381
2013,08-18,3812
2013,08-19,6154
2013,08-20,8032
2013,08-21,8121
2013,08-22,7844
2013,08-23,7544
2013,08-24,4404
2013,08-25,2588
2013,08-26,6992
2013,08-27,6686
2013,08-28,6575
2013,08-29,7972
2013,08-30,7836
2013,08-31,5884
2013,09-01,3572
2013,09-02,7789
2013,09-03,8638
2013,09-04,8812
2013,09-05,8711
2013,09-06,8406
2013,09-07,6287
2013,09-08,3061
2013,09-09,8554
2013,09-10,6081
2013,09-11,6612
2013,09-12,6466
2013,09-13,8419
2013,09-14,5534
2013,09-15,2670
2013,09-16,6345
2013,09-17,7386
2013,09-18,5725
2013,09-19,7980
2013,09-20,7979
2013,09-21,7133
2013,09-22,4771
2013,09-23,8886
2013,09-24,9395
2013,09-25,9676
2013,09-26,8831
2013,09-27,9070
2013,09-28,8425
2013,09-29,3511
2013,09-30,8589
2013,10-01,9081
2013,10-02,9697
2013,10-03,4504
2013,10-04,7207
2013,10-05,4666
2013,10-06,2834
2013,10-07,8269
2013,10-08,8839
2013,10-09,8832
2013,10-10,5542
2013,10-11,7137
2013,10-12,5432
2013,10-13,3595
2013,10-14,7441
2013,10-15,7586
2013,10-16,9193
2013,10-17,9720
2013,10-18,9597
2013,10-19,7715
2013,10-20,2913
2013,10-21,9541
2013,10-22,11434
2013,10-23,7742
2013,10-24,11033
2013,10-25,10150
2013,10-26,7839
2013,10-27,4052
2013,10-28,8463
2013,10-29,9083
2013,10-30,9629
2013,10-31,9059
2013,11-01,3854
2013,11-02,5309
2013,11-03,2932
2013,11-04,7199
2013,11-05,8765
2013,11-06,8586
2013,11-07,9238
2013,11-08,8075
2013,11-09,6301
2013,11-10,2514
2013,11-11,8843
2013,11-12,9139
2013,11-13,8755
2013,11-14,8328
2013,11-15,8194
2013,11-16,6076
2013,11-17,3312
2013,11-18,8938
2013,11-19,7492
2013,11-20,7046
2013,11-21,6511
2013,11-22,6681
2013,11-23,4926
2013,11-24,2844
2013,11-25,7642
2013,11-26,7790
2013,11-27,7735
2013,11-28,7533
2013,11-29,7412
2013,11-30,5298
2013,12-01,2923
2013,12-02,7810
2013,12-03,7989
2013,12-04,8105
2013,12-05,7839
2013,12-06,6984
2013,12-07,5456
2013,12-08,3448
2013,12-09,7444
2013,12-10,7963
2013,12-11,8102
2013,12-12,7369
2013,12-13,6839
2013,12-14,4369
2013,12-15,3119
2013,12-16,7844
2013,12-17,8631
2013,12-18,8690
2013,12-19,7346
2013,12-20,7057
